timestamp_s,lidar_cm,front_cm,left_cm,right_cm,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.141,58.8,98.2,56.0,-1.0,0.87,0.029,0.467,-9.95,-2.45,2.93,left_turn
0.441,56.2,101.6,54.7,-1.0,0.699,0.069,1.619,11.04,5.87,-6.63,left_turn
0.74,53.8,101.3,54.2,-1.0,0.863,0.098,0.424,-54.27,-12.41,-4.98,left_turn
1.043,52.6,97.9,69.6,-1.0,0.981,-0.271,0.534,-144.62,-56.16,-16.02,left_turn
1.342,54.4,101.8,52.9,-1.0,1.069,-0.1,0.61,85.06,21.4,-5.96,left_turn
1.642,56.9,99.0,53.3,-1.0,0.884,-0.02,0.604,13.59,15.18,-6.34,left_turn
1.947,61.8,136.1,38.7,-1.0,0.835,0.095,0.595,19.91,15.56,27.14,left_turn
2.238,70.8,72.9,28.8,-1.0,0.781,0.129,0.574,22.71,-1.13,19.31,left_turn
2.528,62.1,63.5,25.8,-1.0,0.811,0.156,0.616,0.5,-2.78,0.95,left_turn
2.877,68.0,-1.0,50.2,-1.0,0.741,0.178,0.569,-50.28,8.01,-46.88,left_turn
3.214,74.0,284.3,74.3,-1.0,0.827,-0.015,0.517,-41.05,-12.17,-42.9,left_turn
3.512,57.1,67.0,76.0,-1.0,0.701,0.013,0.803,-4.4,0.42,9.41,left_turn
3.861,76.5,-1.0,44.3,-1.0,0.723,0.144,0.51,26.16,31.69,55.65,left_turn
4.152,101.1,56.7,35.3,-1.0,0.709,0.271,0.51,7.32,-7.82,39.66,left_turn
4.45,76.2,49.5,89.8,-1.0,0.789,0.292,0.579,8.94,-47.47,13.56,left_turn
4.755,57.6,55.1,124.1,-1.0,0.772,0.123,0.7,-36.37,-8.7,-2.18,left_turn
5.045,77.7,60.8,34.7,-1.0,0.696,0.101,0.581,-33.75,21.37,-36.63,left_turn
5.398,98.6,-1.0,64.6,-1.0,0.773,0.077,0.535,-16.8,-1.84,-53.82,left_turn
5.704,62.5,113.8,69.4,-1.0,0.846,-0.049,0.615,-34.33,-48.91,-14.21,left_turn
6.055,71.1,-1.0,50.0,-1.0,0.78,0.025,0.55,12.96,29.16,50.16,left_turn
6.372,92.7,225.3,29.3,-1.0,0.87,0.078,0.585,36.63,-15.4,53.05,left_turn
6.667,66.1,86.8,27.8,-1.0,1.126,0.75,2.0,1.27,-84.18,33.27,left_turn
6.976,66.6,172.7,30.8,-1.0,0.747,0.143,0.616,-63.47,19.6,-37.17,left_turn
7.302,90.1,225.4,70.2,-1.0,0.795,-0.023,0.488,-30.1,-2.37,-52.35,left_turn
7.609,61.8,68.2,115.2,-1.0,0.876,-1.033,-0.849,-28.69,4.47,16.46,left_turn
7.924,71.1,149.4,89.5,-1.0,0.871,-0.022,0.516,49.61,11.4,69.07,left_turn
8.238,90.5,172.0,69.9,-1.0,0.847,0.052,0.533,31.66,-15.77,38.85,left_turn
8.54,68.8,93.6,59.4,-1.0,0.851,-0.068,0.462,36.04,-20.49,25.45,left_turn
8.84,60.5,85.4,67.3,-1.0,0.916,-0.042,0.588,-20.14,-19.59,-12.69,left_turn
9.154,61.4,152.7,78.0,-1.0,0.819,-0.087,0.559,-19.24,23.05,-46.16,left_turn
9.501,65.9,225.2,85.4,-1.0,0.927,-0.018,0.441,-8.4,-3.35,-18.28,left_turn
9.817,60.7,180.8,70.9,-1.0,0.938,-0.065,0.572,21.32,4.28,41.31,left_turn
10.115,71.5,71.1,56.3,-1.0,0.814,-0.036,0.575,22.42,-11.38,35.9,left_turn
10.414,65.2,65.4,77.1,-1.0,0.897,-0.029,0.479,56.01,-8.55,40.27,left_turn
10.718,59.8,43.7,128.6,-1.0,0.83,0.103,0.618,-22.11,-23.48,16.6,left_turn
11.012,59.3,59.6,53.6,-1.0,0.853,-0.066,0.518,2.14,12.33,-24.02,left_turn
11.307,62.2,56.6,55.9,-1.0,1.007,-0.588,0.666,-7.11,1.85,-35.33,left_turn
11.615,60.6,56.8,133.7,-1.0,0.848,-0.217,0.537,8.27,-5.93,34.46,left_turn
11.907,63.8,36.4,73.1,-1.0,0.797,0.024,0.502,32.02,1.21,32.37,left_turn
12.197,62.7,42.9,52.2,-1.0,0.933,-0.038,0.541,37.0,2.31,38.42,left_turn
12.493,66.1,107.1,22.3,-1.0,0.872,0.048,0.477,36.9,-6.6,27.64,left_turn
12.793,59.8,118.2,26.3,-1.0,0.816,0.04,0.501,2.5,-2.6,2.36,left_turn
13.094,59.5,122.1,34.6,-1.0,0.866,-0.134,0.522,4.24,7.28,-5.36,left_turn
13.393,61.0,107.7,37.5,-1.0,1.16,-1.559,0.149,-19.8,-7.85,-18.67,left_turn
13.695,62.0,128.0,26.9,-1.0,0.781,-0.194,0.52,23.82,14.07,24.56,left_turn
13.985,74.7,69.0,30.6,-1.0,0.868,-0.066,0.475,8.67,-3.6,17.08,left_turn
14.277,67.4,67.0,27.2,-1.0,0.861,0.023,0.482,-9.31,-21.4,5.3,left_turn
14.566,61.2,59.8,30.3,-1.0,0.841,-0.132,0.583,-30.78,-13.37,-0.25,left_turn
14.859,64.3,81.9,36.2,-1.0,0.868,-0.103,0.562,-28.05,11.34,-13.43,left_turn
15.16,72.0,110.0,50.8,-1.0,0.83,-0.152,0.505,-23.53,3.5,-26.01,left_turn
15.461,65.5,76.5,71.5,-1.0,0.888,-0.168,0.492,-3.73,7.43,-14.42,left_turn
15.758,58.3,70.9,71.3,-1.0,0.948,-0.156,0.598,-11.89,-3.44,-6.85,left_turn
16.06,60.4,96.1,56.1,-1.0,0.86,-0.158,0.482,28.81,0.51,48.18,left_turn
16.358,77.5,101.7,38.5,-1.0,0.842,-0.014,0.527,14.03,-8.76,21.95,left_turn
16.647,73.1,56.0,35.7,-1.0,0.826,0.177,1.075,9.07,30.91,-14.97,left_turn
16.94,60.9,58.7,43.6,-1.0,1.273,-1.74,-0.875,-83.43,43.93,15.63,left_turn
17.243,57.7,134.9,28.8,-1.0,0.851,-0.113,0.646,-14.56,12.52,-7.75,left_turn
17.539,73.1,77.3,48.3,-1.0,0.936,-0.1,0.4,-40.42,8.11,-33.4,left_turn
17.839,72.8,54.4,98.9,-1.0,0.883,-0.108,0.414,-38.19,3.35,-43.6,left_turn
18.145,56.5,52.8,125.7,-1.0,0.978,-0.769,0.874,-49.95,-10.29,-13.38,left_turn
18.443,58.8,52.7,101.7,-1.0,0.92,-0.307,0.37,24.17,-4.21,33.83,left_turn
18.741,68.6,71.1,67.4,-1.0,0.839,-0.095,0.468,43.69,3.92,39.21,left_turn
19.036,75.7,66.5,51.6,-1.0,0.898,-0.124,0.464,32.66,-4.32,14.17,left_turn
19.327,59.4,63.6,38.5,-1.0,1.199,0.564,0.235,250.13,250.13,-56.94,left_turn
19.622,56.3,74.0,52.9,-1.0,0.867,-0.303,0.562,3.26,0.09,16.82,left_turn
19.918,70.0,61.9,65.4,-1.0,0.829,-0.068,0.438,-10.92,30.73,-19.51,left_turn
20.221,70.7,80.0,84.7,-1.0,0.898,-0.213,0.44,-39.59,3.98,-40.0,left_turn
20.518,54.4,68.9,61.2,-1.0,0.947,-0.319,0.331,-1.13,-28.84,-12.27,left_turn
20.818,55.0,68.0,75.9,-1.0,0.94,-0.335,0.344,7.87,-25.4,22.62,left_turn
21.115,55.0,68.5,59.8,-1.0,0.929,-0.167,0.443,10.58,-7.44,17.06,left_turn
21.408,57.7,62.4,50.3,-1.0,0.975,-0.18,0.292,15.68,-12.09,13.79,left_turn
21.7,50.1,59.7,50.2,-1.0,0.976,-0.376,0.148,-16.98,14.89,4.29,left_turn
21.993,50.3,55.4,55.5,-1.0,0.876,-0.269,0.37,-55.26,29.46,-8.01,left_turn
22.33,70.8,202.5,39.6,-1.0,0.942,-0.234,0.186,-55.64,28.98,-32.63,left_turn
