timestamp_s,lidar_cm,front_cm,left_cm,right_cm,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.333,56.5,60.7,97.0,101.3,0.812,0.067,0.559,-2.1,0.56,0.28,obstacle_avoid
0.887,55.2,54.4,400.0,102.1,0.738,-0.025,0.549,82.44,18.6,-19.08,obstacle_avoid
1.442,53.4,48.9,400.0,112.5,0.724,-0.083,0.551,-31.64,12.69,9.53,obstacle_avoid
2.005,44.9,35.0,400.0,177.5,0.219,-0.169,0.514,-10.11,9.49,-7.66,obstacle_avoid
2.558,25.5,22.6,400.0,125.5,0.871,0.24,0.5,-40.5,-5.45,13.02,obstacle_avoid
3.146,14.6,16.2,400.0,250.7,0.809,-0.15,0.797,-5.7,4.08,13.53,obstacle_avoid
3.699,15.7,16.3,400.0,131.1,1.086,-0.188,0.738,13.05,-1.17,1.99,obstacle_avoid
4.387,69.5,400.0,156.9,86.6,0.891,0.164,0.379,1.83,-5.68,24.47,obstacle_avoid
5.028,61.3,400.0,400.0,92.1,0.795,0.154,0.555,4.27,-8.69,-31.22,obstacle_avoid
5.575,61.0,7.7,400.0,109.2,0.906,0.342,0.403,58.78,18.75,-2.23,obstacle_avoid
6.127,59.5,12.3,400.0,131.3,0.802,0.175,0.612,-68.59,-10.13,1.92,obstacle_avoid
6.679,20.5,18.7,400.0,128.0,0.622,0.031,0.571,-26.88,-5.34,-46.26,obstacle_avoid
7.26,10.8,14.1,400.0,104.5,0.819,0.034,0.572,-27.41,2.11,0.47,obstacle_avoid
7.806,8.3,6.8,400.0,102.2,0.802,0.163,0.669,-24.31,-0.34,-2.49,obstacle_avoid
8.514,96.7,30.8,400.0,400.0,0.73,0.03,0.521,-50.69,-8.6,2.66,obstacle_avoid
9.245,57.4,66.8,400.0,202.5,1.068,0.165,0.667,-21.79,-3.78,6.74,obstacle_avoid
9.549,28.3,26.1,400.0,132.2,0.859,0.067,0.621,40.01,8.74,36.88,obstacle_avoid
9.938,46.6,20.8,400.0,367.7,0.929,0.176,0.534,98.61,32.37,13.56,obstacle_avoid
10.672,64.0,52.3,400.0,400.0,0.865,0.113,0.407,-66.31,-18.58,-4.05,obstacle_avoid
11.425,56.3,66.3,400.0,400.0,0.87,0.124,0.208,29.15,-0.69,-5.18,obstacle_avoid
12.17,56.0,62.7,400.0,254.7,0.902,0.245,0.462,35.05,7.53,-0.64,obstacle_avoid
12.854,55.3,64.5,99.0,168.0,0.614,0.118,0.263,33.3,-8.67,30.53,obstacle_avoid
13.249,51.6,400.0,96.6,51.0,0.884,-0.015,0.549,-9.95,17.15,27.63,obstacle_avoid
