timestamp_s,lidar_cm,front_cm,left_cm,right_cm,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.118,68.1,400.0,400.0,69.9,0.754,0.102,0.645,-4.11,0.66,0.76,right_turn
0.472,68.2,400.0,400.0,69.4,0.756,0.107,0.645,-3.51,0.18,0.02,right_turn
0.825,68.9,400.0,400.0,69.7,0.756,0.063,0.684,14.18,0.4,1.44,right_turn
1.18,68.5,400.0,400.0,69.4,0.756,0.066,0.656,10.8,0.3,2.0,right_turn
1.536,68.8,400.0,400.0,64.7,0.387,-0.524,0.262,22.63,1.16,-1.98,right_turn
2.168,72.6,151.7,400.0,77.2,0.769,0.063,0.644,4.64,0.84,-31.79,right_turn
2.792,71.8,155.7,400.0,239.7,0.985,0.431,0.124,-33.76,0.7,3.58,right_turn
3.445,73.6,163.2,400.0,400.0,0.732,0.032,0.677,2.17,1.02,4.68,right_turn
4.085,95.1,141.7,400.0,227.6,0.681,-0.068,0.68,-17.37,-0.81,-28.09,right_turn
4.777,72.8,400.0,400.0,400.0,0.749,-0.01,0.741,-50.11,-1.0,-1.17,right_turn
5.133,107.6,400.0,222.6,195.6,0.675,-0.07,0.579,-7.56,-9.18,-27.89,right_turn
6.182,70.3,202.7,400.0,400.0,0.602,-0.193,0.262,-48.57,-5.99,1.31,right_turn
6.184,70.0,166.6,242.4,400.0,0.806,0.134,0.65,-7.0,3.02,-15.45,right_turn
6.796,78.9,161.8,239.3,286.4,0.792,0.036,0.575,-24.8,-14.85,-30.92,right_turn
7.419,71.2,167.6,245.5,400.0,0.807,0.136,0.671,-14.15,0.89,-5.79,right_turn
8.101,82.0,218.5,400.0,400.0,0.701,0.141,0.625,-18.59,-0.29,-29.34,right_turn
8.778,70.0,400.0,400.0,311.6,0.75,-0.161,0.681,2.58,0.53,-4.2,right_turn
9.449,74.5,400.0,400.0,265.9,0.771,0.114,0.575,-12.91,4.57,-43.15,right_turn
10.054,66.9,217.8,235.6,256.0,0.76,0.112,0.5,-49.34,4.78,-4.31,right_turn
11.347,73.6,204.9,255.2,400.0,0.746,0.24,0.536,-28.92,-9.99,-33.49,right_turn
11.348,66.2,172.6,283.5,400.0,0.739,-0.059,0.768,-22.71,1.15,-4.69,right_turn
12.01,67.9,226.2,400.0,400.0,0.817,0.308,0.531,-21.31,-3.11,-25.44,right_turn
13.345,71.3,100.1,400.0,400.0,0.766,-0.07,0.562,-38.82,-13.26,-30.27,right_turn
13.346,67.6,400.0,235.0,276.3,0.817,0.266,0.558,27.54,-0.78,-4.84,right_turn
14.002,66.3,400.0,276.8,238.8,0.745,-0.009,0.535,-36.62,-6.82,-34.76,right_turn
14.64,65.9,400.0,400.0,82.9,0.752,-0.008,0.585,-24.74,0.69,0.41,right_turn
15.332,74.3,400.0,400.0,400.0,0.733,-0.049,0.652,-19.78,-17.69,-28.63,right_turn
16.024,66.7,400.0,400.0,400.0,0.771,0.09,0.621,-13.13,0.45,0.98,right_turn
16.618,81.0,152.2,400.0,66.1,0.779,0.037,0.622,-48.43,-10.79,-35.42,right_turn
17.236,66.5,162.6,400.0,184.9,0.782,0.032,0.525,-24.66,4.56,0.46,right_turn
17.858,69.0,170.5,400.0,214.3,0.8,0.195,0.568,-36.47,-8.7,-37.82,right_turn
18.48,66.7,173.0,400.0,206.6,0.76,0.089,0.642,-12.31,1.42,1.53,right_turn
19.138,73.8,189.3,400.0,400.0,0.779,0.229,0.536,-20.32,-0.85,-35.13,right_turn
19.797,66.3,400.0,227.1,400.0,0.723,0.504,1.659,30.15,2.15,8.53,right_turn
20.489,66.7,400.0,400.0,400.0,0.779,0.169,0.707,-11.95,0.89,-17.11,right_turn
20.811,68.3,163.8,227.5,71.3,0.895,0.485,1.713,-89.5,20.33,2.91,right_turn
21.15,66.6,164.7,229.8,400.0,0.764,0.14,0.661,-4.54,0.47,7.36,right_turn
21.493,72.4,165.3,239.8,56.6,0.726,0.179,0.581,-9.3,8.63,-31.25,right_turn
22.131,82.5,170.6,400.0,296.7,0.786,0.107,0.582,-27.47,-7.98,-49.37,right_turn
23.497,66.4,400.0,400.0,400.0,0.695,0.156,0.567,-23.88,3.67,4.66,right_turn
23.498,74.3,400.0,400.0,284.1,0.752,0.251,0.61,-26.26,-0.81,-39.91,right_turn
24.102,70.1,213.9,215.6,269.0,0.745,0.114,0.619,-9.37,6.89,3.94,right_turn
24.749,81.9,202.3,354.2,400.0,0.708,0.104,0.628,-18.44,1.18,-36.5,right_turn
25.402,71.9,179.6,397.8,400.0,0.721,-0.024,0.755,3.27,7.08,8.22,right_turn
26.082,80.7,157.3,400.0,400.0,0.807,0.317,0.434,-9.12,-0.08,-47.11,right_turn
26.744,71.3,211.3,400.0,400.0,0.745,0.006,0.539,43.79,-1.07,2.82,right_turn
27.397,72.8,400.0,400.0,53.7,0.759,0.145,0.612,-4.8,-5.89,-37.82,right_turn
28.06,69.8,400.0,264.6,400.0,0.718,0.113,0.676,-56.85,4.76,2.6,right_turn
28.7,73.0,400.0,260.3,234.5,0.738,0.074,0.662,-9.96,11.07,-30.31,right_turn
29.344,70.7,400.0,331.1,204.8,0.715,-0.137,1.023,-51.75,-0.5,1.47,right_turn
30.027,71.1,400.0,400.0,233.0,0.817,0.136,0.636,-31.07,-2.65,-20.54,right_turn
31.36,70.1,400.0,400.0,202.7,0.714,-0.226,0.505,62.03,1.56,-6.6,right_turn
31.361,69.9,400.0,400.0,74.2,0.726,0.134,0.559,-14.63,-5.68,-9.27,right_turn
31.962,67.9,155.8,400.0,110.4,0.801,-0.043,0.647,-14.09,1.34,-28.18,right_turn
32.614,69.8,158.5,400.0,400.0,0.759,-0.015,0.608,-36.06,5.5,-2.79,right_turn
33.236,72.6,173.0,400.0,205.6,0.72,0.033,0.591,-13.05,-4.85,-29.05,right_turn
33.907,67.1,400.0,400.0,55.5,0.801,0.018,0.544,-9.79,-0.17,-16.6,right_turn
34.545,79.6,400.0,212.8,56.6,0.761,0.096,0.619,-21.29,3.7,-23.66,right_turn
35.156,66.7,157.8,400.0,53.0,0.747,0.011,0.611,-1.56,5.59,-3.87,right_turn
35.712,83.6,152.4,222.9,50.6,0.767,0.136,0.505,-40.54,-3.42,-35.73,right_turn
36.274,68.6,157.8,244.9,44.0,0.891,0.159,0.157,16.36,2.48,1.98,right_turn
36.836,68.5,163.9,252.1,47.6,0.744,0.351,0.64,-13.01,-2.53,-14.34,right_turn
37.51,68.2,400.0,400.0,57.0,0.782,0.069,0.626,-30.26,-2.11,-28.23,right_turn
38.138,69.4,314.4,400.0,53.7,0.77,0.194,0.742,-1.59,-1.63,-6.65,right_turn
38.745,78.4,251.1,213.0,249.6,0.739,0.082,0.623,-18.02,-12.29,-16.65,right_turn
39.35,68.7,219.6,213.2,272.2,0.741,0.132,0.695,-13.99,-2.08,-1.29,right_turn
39.993,74.8,203.6,370.6,244.8,0.761,0.247,0.587,-30.08,-2.97,-40.86,right_turn
41.281,68.5,194.4,260.6,400.0,0.664,0.327,0.615,-34.34,4.04,3.4,right_turn
41.282,70.8,163.7,277.1,400.0,0.764,0.309,0.616,-20.3,2.58,-35.31,right_turn
42.647,81.7,216.3,294.2,400.0,0.788,0.227,0.598,-22.18,-18.31,-35.46,right_turn
42.647,69.2,400.0,400.0,400.0,0.777,0.208,0.677,-36.81,-1.65,-4.24,right_turn
43.292,72.5,400.0,278.5,265.2,0.75,0.172,0.578,-30.42,-12.56,-36.59,right_turn
43.929,68.8,400.0,278.3,220.9,0.777,0.144,0.708,-10.6,4.22,3.45,right_turn
44.6,77.3,400.0,400.0,206.6,0.782,0.198,0.565,-17.96,-6.53,-34.44,right_turn
45.282,68.9,400.0,400.0,222.7,0.714,-0.173,0.915,-31.66,3.73,6.78,right_turn
45.973,78.4,400.0,400.0,400.0,0.798,0.178,0.6,-36.28,-1.77,-38.93,right_turn
