timestamp_s,lidar_cm,front_cm,left_cm,right_cm
0.131,31.0,38.1,16.3,92.2
0.355,33.2,44.6,16.3,92.2
0.578,33.3,34.3,16.3,92.3
0.801,38.1,37.4,16.3,92.4
1.026,38.6,38.3,16.3,92.2
1.249,37.0,29.5,16.3,92.1
1.473,34.1,29.9,16.3,92.1
1.695,34.1,29.8,16.3,92.1
1.919,34.4,29.5,16.3,92.2
2.142,35.3,28.8,16.3,91.9
2.364,35.8,26.4,16.0,92.2
2.585,35.9,26.7,16.0,92.4
2.809,36.0,27.0,16.3,91.9
3.031,36.3,29.0,16.3,92.1
3.257,36.0,39.1,16.3,92.2
3.481,36.5,39.8,16.3,91.8
3.705,36.0,37.3,16.3,92.1
3.929,36.0,39.5,16.3,92.1
4.152,36.2,38.2,16.3,91.9
4.375,36.2,29.2,16.0,92.2
4.598,36.1,27.5,16.3,92.2
4.821,35.8,26.4,16.3,92.0
5.044,35.9,28.7,16.3,92.3
5.267,35.6,26.7,16.3,92.4
5.49,35.5,27.0,16.3,92.2
5.713,35.5,27.5,16.3,92.1
5.937,35.7,28.7,16.3,92.2
6.159,35.7,36.5,16.3,92.1
6.383,35.6,34.0,16.3,92.2
6.605,37.4,28.6,15.3,92.1
6.829,36.1,36.1,16.3,92.3
7.052,20.1,35.1,16.0,92.2
7.273,40.8,19.2,16.3,92.3
7.492,40.1,15.3,16.3,92.1
7.713,27.3,8.6,16.3,92.5
7.931,22.2,6.7,16.3,92.2
8.15,19.7,7.7,16.3,92.2
8.368,16.5,4.9,16.3,92.2
8.585,13.8,4.2,16.3,92.3
8.804,13.4,4.6,16.3,92.2
9.023,11.7,4.9,16.3,92.2
9.243,10.5,21.0,16.3,92.2
9.463,9.5,9.9,16.3,92.1
9.682,7.0,5.3,16.3,91.9
9.9,5.4,7.1,16.3,92.4
10.117,5.2,3.9,16.3,92.5
10.337,4.5,6.3,16.3,92.4
10.553,4.3,1.7,16.3,92.1
10.772,4.5,5.4,16.3,92.2
10.992,5.1,6.1,16.3,92.4
11.211,5.4,9.1,16.3,92.4
11.475,5.4,16.6,16.3,92.5
11.761,8.1,-1.0,16.3,92.4
12.047,5.2,-1.0,16.0,92.1
12.332,6.6,-1.0,15.6,92.3
12.618,6.5,-1.0,16.3,92.4
12.839,6.5,18.0,16.0,92.3
13.042,6.8,3.4,16.3,3.8
13.246,26.5,12.6,16.3,6.3
13.52,15.3,3.4,16.0,-1.0
13.794,17.0,2.9,16.3,-1.0
14.073,18.4,24.6,15.7,-1.0
14.35,22.6,21.1,16.9,-1.0
14.626,19.9,15.9,16.9,-1.0
14.828,19.0,3.3,16.9,2.8
15.047,20.4,7.9,15.7,92.3
15.275,40.7,57.4,15.7,92.3
15.502,35.1,47.1,15.7,92.0
15.727,16.6,41.5,9.7,92.4
15.952,14.5,40.1,12.6,92.6
16.173,13.6,40.8,3.2,92.4
16.395,12.9,42.8,3.2,92.4
16.667,12.0,56.2,3.6,92.2
16.889,10.6,48.2,2.6,92.4
17.116,11.8,60.6,2.6,92.1
17.341,11.7,58.8,3.1,92.1
17.565,11.4,58.6,4.3,92.1
17.793,11.5,58.7,4.6,92.1
18.019,11.8,44.4,6.2,92.3
18.244,12.2,42.6,6.2,92.1
18.465,12.0,41.3,3.3,92.0
18.689,12.7,44.0,3.3,92.0
18.914,12.5,59.7,3.3,92.1
19.139,12.6,59.8,3.3,92.1
19.368,12.5,83.3,3.3,92.0
19.593,12.6,60.3,3.3,92.0
19.821,12.5,82.7,3.3,91.9
20.052,12.5,71.3,4.6,91.9
20.28,12.3,83.2,4.3,91.9
20.512,12.6,83.0,6.3,91.8
20.743,12.5,82.3,3.5,91.9
20.968,13.6,43.1,16.6,91.9
21.193,28.6,44.3,16.6,92.0
21.416,28.2,30.5,16.6,91.9
21.642,29.1,43.0,16.6,91.9
21.866,27.9,41.3,16.6,92.0
22.09,26.9,35.7,16.6,91.7
22.316,30.4,48.3,16.6,91.8
22.54,32.7,39.4,16.6,91.9
22.764,32.3,40.3,16.6,91.7
22.986,32.3,29.0,16.6,92.0
23.209,32.2,29.8,16.6,92.0
