timestamp_s,lidar_cm,front_cm,left_cm,right_cm,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.074,35.0,400.0,93.5,110.7,1.04,0.002,0.123,4.23,13.31,7.92,step_down
0.379,37.1,400.0,102.8,109.7,1.024,-0.042,0.237,-32.44,16.86,-0.15,step_down
0.89,38.3,111.0,103.0,109.6,1.02,-0.105,0.252,35.45,-6.28,2.95,step_down
1.47,34.5,400.0,217.5,111.8,1.056,-0.042,-0.063,-6.5,-8.05,2.69,step_down
1.78,37.1,400.0,103.8,108.9,1.018,-0.096,0.273,34.15,11.17,4.69,step_down
2.087,38.6,400.0,91.1,109.2,1.021,-0.136,0.254,8.39,-11.15,2.72,step_down
2.391,45.0,400.0,93.0,93.8,0.842,0.003,0.238,-15.08,40.15,-11.54,step_down
2.697,56.0,400.0,95.9,95.0,1.001,-0.014,0.391,-10.66,22.55,-17.77,step_down
3.233,53.4,61.4,97.5,96.5,1.031,-1.027,2.0,-78.9,14.73,-14.18,step_down
3.538,51.3,400.0,97.6,92.8,0.89,-0.004,0.544,-12.53,3.85,4.76,step_down
3.842,51.4,400.0,97.9,95.9,0.824,0.052,0.2,-41.63,4.69,1.16,step_down
4.147,50.8,400.0,97.9,91.4,0.902,0.037,0.387,3.88,-10.56,3.21,step_down
4.451,48.1,400.0,94.3,91.5,0.903,-0.104,0.512,17.92,3.11,11.52,step_down
4.802,51.6,104.6,84.5,97.7,0.89,0.073,0.396,35.63,21.37,17.73,step_down
5.153,52.8,92.3,82.6,98.4,0.885,0.298,0.692,-43.0,-7.85,16.9,step_down
5.683,49.6,97.0,88.6,75.7,0.886,0.053,0.655,-72.49,4.53,-9.04,step_down
6.199,70.9,77.5,116.2,64.9,2.0,0.917,1.334,-135.41,15.05,5.78,step_down
6.852,89.7,400.0,61.0,72.1,0.842,0.035,0.368,14.92,2.27,3.53,step_down
7.378,118.4,45.5,59.6,87.4,0.887,0.006,0.37,-7.03,-2.73,6.37,step_down
8.034,145.9,400.0,66.6,83.5,0.888,-0.069,0.373,10.17,5.95,-2.56,step_down
8.691,115.7,400.0,69.3,84.1,0.937,-0.06,0.445,-91.66,-16.63,-6.44,step_down
9.087,64.1,400.0,64.3,84.7,1.032,-0.083,0.02,28.63,-17.44,2.03,step_down
9.482,58.1,400.0,64.0,84.4,1.052,-0.076,-0.085,-7.5,-2.31,2.79,step_down
9.971,54.7,56.2,63.3,84.5,1.062,0.167,-0.009,14.04,-4.45,6.28,step_down
10.516,53.4,400.0,64.2,82.7,0.972,0.03,0.028,-0.53,2.12,-3.06,step_down
11.062,52.3,400.0,67.2,80.6,0.955,0.002,-0.013,-0.64,9.76,-6.63,step_down
11.601,49.5,400.0,25.6,81.1,1.046,-0.129,-0.417,-22.47,3.06,1.34,step_down
12.14,38.4,400.0,23.2,81.2,1.099,-0.012,0.007,-4.35,-0.34,-0.21,step_down
12.679,32.4,400.0,23.2,81.0,1.047,-0.002,-0.141,3.51,-0.97,1.31,step_down
13.205,32.4,68.0,66.6,79.7,1.095,-0.065,0.023,0.17,7.7,-3.55,step_down
13.745,33.1,400.0,39.7,74.8,1.039,-0.212,0.047,-19.68,6.53,-1.32,step_down
14.284,36.0,400.0,25.9,80.9,0.837,0.062,0.33,3.69,11.1,-6.63,step_down
14.941,103.6,400.0,69.0,86.7,0.949,-0.035,0.222,-12.18,32.31,1.08,step_down
15.596,111.5,400.0,64.8,82.3,0.964,0.011,0.297,-33.48,4.18,-2.79,step_down
16.255,110.4,400.0,78.7,74.7,0.854,0.001,0.324,5.02,14.56,-16.93,step_down
16.914,183.3,400.0,78.2,77.2,0.738,0.037,0.353,3.15,16.77,-0.21,step_down
17.573,133.8,400.0,72.7,82.1,0.837,0.089,0.538,7.15,0.98,2.87,step_down
18.229,99.0,400.0,67.3,89.4,0.946,0.016,0.39,5.87,0.56,5.31,step_down
18.529,80.4,400.0,68.2,91.7,0.898,-0.053,0.39,-4.74,0.21,2.24,step_down
19.188,136.6,400.0,61.3,96.7,0.877,-0.034,0.254,4.03,5.71,6.45,step_down
19.847,146.1,400.0,73.2,84.9,0.84,-0.056,0.348,-3.05,-2.47,-13.93,step_down
20.502,152.4,400.0,66.2,85.4,0.879,-0.028,0.434,4.99,12.25,5.02,step_down
21.137,187.2,202.0,10.7,85.7,0.841,-0.019,0.36,-0.14,-6.27,1.09,step_down
21.783,244.8,400.0,12.3,85.5,0.728,-0.026,0.411,0.04,7.31,-0.44,step_down
22.079,140.8,400.0,61.8,85.5,0.93,-0.01,0.48,-1.12,-0.95,-0.4,step_down
22.468,121.5,400.0,19.5,87.8,0.926,-0.018,0.35,57.27,4.91,1.37,step_down
23.012,95.4,400.0,57.7,89.2,0.896,-0.103,0.664,-31.65,-3.3,-4.8,step_down
23.56,94.7,400.0,53.3,95.3,0.903,0.018,0.433,-2.9,6.91,6.24,step_down
24.104,118.5,400.0,60.4,78.6,0.898,0.035,0.43,-31.33,8.98,-16.04,step_down
24.399,130.8,400.0,66.0,83.8,1.02,0.115,0.577,-1.98,7.26,-9.02,step_down
25.003,201.9,85.2,72.1,81.9,0.859,-0.065,0.275,14.37,-22.51,-2.43,step_down
25.657,212.8,400.0,57.7,88.6,0.813,0.005,0.34,12.85,6.36,11.58,step_down
25.956,151.0,400.0,70.6,90.4,0.922,0.172,0.323,4.49,-1.6,1.8,step_down
26.254,138.8,400.0,67.3,94.2,0.869,0.073,0.467,-4.1,-0.58,0.88,step_down
26.803,114.3,400.0,63.5,96.7,0.905,0.049,0.426,-5.67,-1.46,-1.39,step_down
27.344,85.4,400.0,19.5,93.1,0.924,0.029,0.473,-20.44,2.13,-2.13,step_down
27.892,90.3,400.0,62.5,96.1,0.905,-0.13,0.731,11.05,-18.93,-1.65,step_down
28.421,148.6,74.5,260.9,102.5,0.893,0.001,0.205,17.38,-22.81,14.68,step_down
28.742,121.4,400.0,204.1,89.6,0.863,0.12,0.457,-25.79,6.62,-11.74,step_down
29.041,141.2,400.0,72.1,88.7,0.833,0.059,0.619,-28.4,1.63,0.89,step_down
29.44,137.6,400.0,65.6,96.9,0.867,0.208,0.856,-13.76,2.28,3.66,step_down
30.05,226.8,109.0,60.5,103.2,0.821,-0.031,0.122,17.6,-24.04,20.01,step_down
30.683,236.4,157.4,60.1,98.4,0.743,-0.073,0.203,6.79,-12.53,-0.56,step_down
31.082,151.9,400.0,59.2,105.8,0.895,0.062,0.544,6.44,-0.53,1.85,step_down
31.739,112.1,390.5,60.0,99.0,0.914,0.039,0.452,-9.29,-5.45,-6.06,step_down
32.391,86.7,387.8,22.2,95.6,0.911,0.039,0.465,6.86,2.63,0.44,step_down
33.034,125.7,299.2,57.9,100.0,0.898,0.017,0.375,11.9,-2.76,9.95,step_down
33.689,132.3,377.9,55.6,97.3,0.915,0.076,0.571,7.01,-3.31,1.61,step_down
34.345,132.0,377.1,61.1,94.2,0.879,-0.016,0.456,-13.02,1.2,4.44,step_down
35.0,167.6,372.6,54.7,96.9,0.961,-0.01,0.628,-12.28,-2.66,0.54,step_down
35.655,222.5,368.2,53.7,95.0,0.73,-0.006,0.292,2.15,2.65,-3.59,step_down
36.3,134.2,365.2,13.6,92.7,0.862,-0.048,0.41,-5.18,0.52,-1.3,step_down
36.947,93.0,360.4,21.5,94.7,0.852,-0.014,0.459,0.85,-2.85,-2.41,step_down
37.596,89.2,355.8,50.1,98.0,0.888,0.007,0.5,1.34,3.49,-1.64,step_down
38.245,140.8,350.7,50.1,98.0,0.898,-0.097,0.51,-50.12,0.68,-1.7,step_down
38.897,134.9,350.6,56.4,92.6,0.857,0.063,0.455,0.27,1.97,0.62,step_down
39.547,179.0,346.9,58.6,94.5,0.686,0.01,0.41,16.47,14.47,12.62,step_down
40.194,212.3,325.4,57.9,95.8,0.788,-0.044,0.383,11.38,8.03,11.53,step_down
40.834,201.5,337.7,14.9,100.5,0.849,-0.014,0.534,5.15,-0.1,2.01,step_down
41.373,144.8,332.0,56.1,99.7,0.861,0.01,0.586,10.41,-0.5,0.14,step_down
41.912,127.9,331.5,56.7,100.8,0.873,0.011,0.413,-3.96,-4.06,-3.59,step_down
42.451,111.6,330.7,56.5,106.8,0.896,-0.034,0.476,1.23,-1.28,0.6,step_down
42.988,170.2,325.3,56.6,107.2,0.873,0.049,0.967,-2.51,-2.66,2.39,step_down
43.634,214.2,321.2,65.0,93.1,0.745,-0.008,0.428,-6.99,5.98,-22.73,step_down
44.28,200.0,318.3,61.3,100.2,0.83,0.021,0.655,8.98,7.17,6.6,step_down
44.924,222.0,312.1,64.6,101.3,0.824,0.009,0.501,2.95,-0.05,-0.32,step_down
45.444,138.5,227.8,55.4,101.3,0.9,0.069,0.513,6.11,-4.25,3.42,step_down
45.941,122.3,127.0,14.5,110.1,0.871,0.136,0.505,88.99,-0.94,3.02,step_down
