timestamp_s,lidar_cm,front_cm,left_cm,right_cm,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.285,14.0,29.6,103.2,37.9,1.061,-0.065,0.055,-5.1,-1.3,-1.99,step_up
0.77,28.0,31.0,104.7,54.8,1.072,-0.047,0.011,-4.05,-3.11,0.58,step_up
1.253,33.3,29.4,102.9,54.7,1.044,-0.063,0.004,-4.72,6.78,-1.59,step_up
1.735,31.4,22.6,100.1,53.2,1.102,-0.06,0.086,-7.72,-3.1,0.93,step_up
2.215,24.4,16.3,96.6,51.0,1.072,-0.065,0.031,-4.05,21.78,-2.43,step_up
2.735,15.9,240.1,95.2,51.9,1.053,0.058,0.411,-5.74,4.68,-2.02,step_up
3.272,14.4,346.8,95.0,51.8,1.044,-0.093,0.12,-4.38,-2.43,-1.05,step_up
3.791,13.3,238.0,95.3,51.7,1.05,-0.095,0.047,-0.93,-3.54,3.24,step_up
4.271,12.1,16.6,95.7,51.4,1.055,-0.107,0.025,-6.43,-5.95,-0.98,step_up
4.756,12.7,56.3,96.1,35.8,1.247,-0.065,0.101,7.34,-2.09,-4.95,step_up
5.245,30.5,64.7,95.1,52.7,1.11,-0.094,-0.322,-4.79,-1.66,1.4,step_up
5.733,52.5,58.2,102.2,51.4,1.081,-0.056,-0.017,-7.82,5.83,-2.85,step_up
6.221,38.1,56.2,101.9,50.4,1.112,-0.131,0.233,-5.88,-1.15,1.26,step_up
6.708,50.1,57.0,100.6,51.8,0.988,-0.096,0.168,-7.66,6.04,-3.29,step_up
7.203,52.8,89.0,99.7,54.2,0.921,-0.088,0.174,-7.81,3.5,4.28,step_up
7.703,55.0,117.2,99.9,56.3,0.99,-0.072,0.071,-1.14,3.83,-3.2,step_up
8.205,52.7,116.3,99.8,57.4,1.031,-0.127,0.199,0.16,-1.79,0.39,step_up
8.705,47.3,117.3,99.7,60.4,1.034,-0.14,0.12,0.29,-4.73,-0.03,step_up
9.212,41.0,143.3,98.7,60.2,1.045,-0.028,0.071,34.4,-0.89,-0.46,step_up
