timestamp_s,lidar_cm,front_cm,left_cm,right_cm,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.013,51.7,162.7,-1.0,-1.0,0.854,0.118,0.527,-0.47,0.66,-0.43,stop
0.385,51.6,162.7,-1.0,-1.0,0.849,0.123,0.565,-18.52,-8.43,-0.85,stop
0.756,50.1,162.2,-1.0,-1.0,0.882,0.09,0.476,2.05,0.08,-0.31,stop
1.126,49.1,161.5,-1.0,-1.0,0.894,0.082,0.494,-19.32,-15.02,-1.3,stop
1.498,45.5,161.3,-1.0,-1.0,0.939,0.093,0.38,-11.79,-11.45,-3.07,stop
1.869,43.4,163.4,-1.0,-1.0,0.944,0.134,0.374,3.92,-1.11,-0.66,stop
2.24,42.5,170.0,-1.0,-1.0,0.956,0.114,0.358,-3.4,-0.06,-0.57,stop
2.61,42.8,159.9,-1.0,-1.0,0.951,0.113,0.369,-5.89,3.4,0.24,stop
2.981,44.5,160.9,-1.0,-1.0,0.934,0.1,0.384,-21.07,7.19,3.47,stop
3.354,48.1,174.4,-1.0,-1.0,0.897,0.025,0.496,-0.68,13.34,4.25,stop
3.724,52.2,164.4,-1.0,-1.0,0.792,0.107,0.594,50.08,24.31,9.55,stop
4.095,55.2,164.7,-1.0,-1.0,0.841,0.064,0.567,22.66,10.05,4.91,stop
4.467,56.1,165.3,-1.0,-1.0,0.841,0.037,0.55,-0.28,1.69,1.01,stop
4.838,56.5,164.9,-1.0,-1.0,0.827,0.082,0.576,4.76,2.06,-1.49,stop
5.19,55.6,164.4,95.1,-1.0,0.807,0.141,0.634,24.91,2.02,0.97,stop
5.504,52.6,163.1,92.1,-1.0,0.826,0.139,0.585,-21.75,-3.24,-5.5,stop
5.875,51.6,162.1,-1.0,-1.0,0.827,0.19,0.56,-31.68,-13.61,-2.64,stop
6.246,49.8,161.4,-1.0,-1.0,0.864,0.168,0.515,1.87,-6.01,-0.19,stop
6.617,46.6,160.0,-1.0,-1.0,0.891,0.188,0.43,-0.92,-7.62,0.37,stop
6.989,44.7,159.2,-1.0,-1.0,0.9,0.214,0.429,-4.75,-5.02,-0.36,stop
7.361,43.1,172.2,-1.0,-1.0,0.922,0.209,0.4,6.31,-3.94,-0.47,stop
7.732,41.5,171.7,-1.0,-1.0,0.943,0.209,0.332,-4.55,-0.5,-0.21,stop
8.104,41.8,172.1,-1.0,-1.0,0.932,0.21,0.384,-3.15,0.92,0.58,stop
8.476,42.0,171.6,-1.0,-1.0,0.937,0.184,0.389,2.06,1.11,-0.11,stop
8.849,42.4,171.7,-1.0,-1.0,0.932,0.207,0.371,-5.71,-0.51,0.2,stop
9.221,42.3,171.6,-1.0,-1.0,0.931,0.198,0.371,-1.03,2.6,0.62,stop
9.592,42.9,159.3,-1.0,-1.0,0.916,0.205,0.406,0.87,4.04,0.18,stop
9.962,43.3,159.0,-1.0,-1.0,0.919,0.197,0.375,-3.89,0.94,0.47,stop
10.332,44.4,159.1,-1.0,-1.0,0.902,0.188,0.408,-6.34,9.68,1.75,stop
10.703,47.1,160.8,-1.0,-1.0,0.887,0.146,0.486,-11.66,2.73,0.33,stop
11.075,49.0,161.4,-1.0,-1.0,0.862,0.162,0.479,16.46,14.36,2.37,stop
11.446,51.3,163.5,-1.0,-1.0,0.841,0.153,0.567,-11.62,3.8,4.27,stop
11.816,53.7,164.9,-1.0,-1.0,0.841,0.076,0.557,3.13,8.52,4.02,stop
12.188,55.9,164.9,-1.0,-1.0,0.814,0.089,0.588,48.66,18.92,8.11,stop
12.568,57.1,219.6,-1.0,-1.0,0.81,0.063,0.613,10.19,5.83,2.15,stop
12.885,58.9,185.1,93.1,-1.0,0.792,0.091,0.61,31.76,12.53,4.01,stop
13.197,59.0,168.3,85.6,-1.0,0.737,0.242,0.615,8.38,5.37,2.21,stop
13.568,60.6,167.2,-1.0,-1.0,0.792,0.076,0.554,-147.27,-34.68,-10.6,stop
13.879,65.5,167.6,78.4,-1.0,0.741,0.054,0.609,58.47,28.08,13.34,stop
14.189,74.3,170.5,76.4,-1.0,0.667,0.108,0.723,46.6,26.79,11.7,stop
14.501,83.7,171.9,73.8,-1.0,0.62,0.105,0.76,-11.95,6.01,1.47,stop
14.814,96.4,172.6,77.4,-1.0,0.589,0.053,0.821,-28.15,1.06,-5.09,stop
15.152,102.3,173.8,71.0,-1.0,0.534,0.193,0.86,111.42,31.6,6.66,stop
15.463,95.1,173.0,72.9,-1.0,0.59,0.145,0.743,31.4,4.43,-1.16,stop
15.776,87.0,170.9,74.5,-1.0,0.64,0.114,0.708,-1.97,-1.5,-4.71,stop
16.087,85.4,172.2,76.9,-1.0,0.595,0.138,0.785,-34.21,1.68,-0.77,stop
16.403,99.6,172.8,94.8,-1.0,0.631,0.016,0.743,14.04,3.53,2.03,stop
16.717,98.9,172.6,88.0,-1.0,0.61,0.048,0.75,9.87,10.22,2.24,stop
17.032,103.3,172.7,91.4,-1.0,0.584,0.084,0.773,-14.02,-2.82,-2.32,stop
17.346,101.7,172.4,81.8,-1.0,0.586,0.055,0.789,-7.23,-0.56,-0.59,stop
17.657,104.9,173.0,71.9,-1.0,0.577,0.082,0.776,-2.7,1.15,-1.34,stop
17.969,105.1,173.0,72.3,-1.0,0.575,0.089,0.796,1.53,1.33,0.27,stop
18.282,106.0,173.0,72.4,-1.0,0.574,0.061,0.802,1.52,0.95,1.02,stop
18.593,105.9,172.8,73.6,-1.0,0.581,0.058,0.796,11.13,6.34,1.12,stop
18.906,106.0,172.4,71.3,-1.0,0.573,0.073,0.797,0.37,2.05,0.65,stop
19.218,105.6,172.9,71.2,-1.0,0.569,0.085,0.79,2.56,1.37,0.3,stop
19.53,107.4,173.4,78.8,-1.0,0.564,0.103,0.796,-1.95,1.22,-1.79,stop
19.842,105.1,173.4,72.4,-1.0,0.58,0.055,0.814,-11.01,-2.86,-1.06,stop
20.153,97.5,172.0,85.0,-1.0,0.615,0.041,0.778,11.83,-5.18,-1.6,stop
20.524,81.6,169.2,-1.0,-1.0,0.689,-0.05,0.665,-56.52,-17.11,-13.31,stop
20.896,80.5,169.1,-1.0,-1.0,0.675,-0.005,0.74,-6.25,-5.47,-4.66,stop
21.268,73.3,173.7,-1.0,-1.0,0.766,-0.172,0.709,73.56,8.95,3.98,stop
21.64,65.4,167.3,-1.0,-1.0,0.753,0.089,0.628,11.7,-5.5,1.58,stop
