timestamp_s,lidar_cm,front_cm,left_cm,right_cm,ax_g,ay_g,az_g,gx_dps,gy_dps,gz_dps,label
0.2,60.5,400.0,118.5,61.9,0.775,0.312,0.533,79.86,-0.21,1.56,walking
0.501,59.8,400.0,119.6,61.1,0.796,0.222,0.565,-9.43,1.37,1.79,walking
0.807,60.0,400.0,121.5,58.3,0.798,0.167,0.655,-48.45,-2.16,5.94,walking
1.108,58.7,400.0,127.2,54.5,0.805,0.258,0.684,-8.67,7.73,-4.01,walking
1.775,97.0,400.0,137.2,63.3,0.709,0.211,0.452,-22.75,5.96,-21.02,walking
2.083,61.7,400.0,146.3,56.3,0.758,0.329,0.673,-2.21,22.25,-14.78,walking
2.752,111.1,400.0,154.3,64.1,0.768,0.142,0.374,-11.0,-11.78,-15.69,walking
3.428,95.8,400.0,133.8,132.2,0.783,-0.113,0.652,58.02,46.37,45.45,walking
4.13,90.1,187.3,80.0,400.0,0.89,0.177,0.443,67.58,-16.21,61.21,walking
4.555,85.6,121.5,91.4,400.0,0.899,-0.04,0.459,2.07,-25.23,-24.66,walking
4.915,71.0,400.0,122.8,400.0,0.771,0.075,0.633,39.78,19.18,20.97,walking
5.372,69.5,400.0,100.3,400.0,1.114,0.171,0.43,-118.36,9.47,-0.18,walking
5.913,70.3,67.4,69.7,367.1,0.804,0.101,0.407,19.0,3.98,35.21,walking
6.271,62.9,400.0,105.2,400.0,0.737,0.346,0.466,-36.89,4.34,-26.4,walking
6.724,61.3,400.0,83.8,400.0,0.704,0.039,0.527,2.5,-2.0,-1.99,walking
7.484,85.2,321.8,410.2,400.0,0.857,0.182,0.553,-117.95,22.57,-44.57,walking
8.207,120.6,400.0,278.7,154.3,0.849,-0.09,0.523,-29.1,-31.6,-41.15,walking
8.619,93.2,400.0,400.0,400.0,0.761,0.202,0.461,10.84,-9.7,-5.18,walking
9.238,64.1,400.0,400.0,137.3,0.748,0.081,0.553,-12.92,2.61,-13.18,walking
9.901,63.1,400.0,400.0,400.0,0.836,0.108,0.594,-34.38,-4.4,-0.83,walking
10.652,68.6,260.7,400.0,400.0,0.833,0.079,0.471,-19.7,-20.01,-1.58,walking
11.401,139.9,245.2,414.2,400.0,0.896,0.104,0.503,59.71,13.35,79.85,walking
12.059,63.8,400.0,398.2,400.0,0.792,0.09,0.596,8.06,4.64,-1.56,walking
12.467,72.8,400.0,393.3,400.0,0.704,0.008,0.475,-0.39,6.92,-9.47,walking
12.876,63.8,400.0,399.8,400.0,0.785,0.025,0.858,-46.92,-0.22,16.23,walking
14.231,74.8,109.5,400.0,400.0,0.58,-1.009,2.0,-105.57,36.45,-40.25,walking
14.232,173.2,197.3,400.0,400.0,0.729,-0.033,0.615,-26.14,22.75,-56.63,walking
14.852,65.6,148.8,400.0,400.0,0.49,-1.81,2.0,-209.37,7.05,-16.84,walking
15.226,90.1,400.0,192.0,400.0,0.815,-0.005,0.471,-29.51,-19.82,-30.08,walking
15.888,65.2,400.0,400.0,400.0,0.811,-0.115,0.805,19.98,12.47,15.05,walking
16.618,150.5,148.2,400.0,400.0,0.751,0.026,0.566,54.75,5.68,74.99,walking
17.211,62.9,400.0,100.4,162.1,0.813,-0.052,0.669,91.77,0.29,6.37,walking
17.742,79.8,109.2,76.2,161.3,0.833,0.065,0.501,-18.6,-26.84,7.46,walking
18.497,116.5,400.0,400.0,75.9,0.691,-0.032,0.464,-21.28,6.53,-49.24,walking
19.112,119.5,110.5,400.0,400.0,0.677,-0.089,0.632,-25.47,26.07,-34.93,walking
19.723,99.9,95.3,400.0,400.0,0.852,-0.194,0.616,-27.89,-15.89,-37.28,walking
20.159,97.5,400.0,99.6,40.4,0.782,-0.007,0.535,-17.02,10.33,-42.45,walking
20.869,67.4,208.5,107.1,400.0,0.837,0.055,0.578,-36.55,-6.1,-4.21,walking
21.477,65.1,400.0,106.0,400.0,0.732,-0.209,0.66,15.79,1.32,13.97,walking
22.085,93.0,68.3,400.0,400.0,0.827,-0.121,0.503,57.89,-11.69,57.91,walking
22.642,61.2,54.9,400.0,116.6,0.808,0.088,0.574,23.76,-1.94,8.79,walking
23.199,58.9,53.2,400.0,116.5,0.797,-0.05,0.636,-3.78,0.89,-0.72,walking
23.803,60.1,54.7,400.0,400.0,0.776,-0.042,0.619,-11.69,2.21,-2.81,walking
24.406,60.5,54.9,400.0,400.0,0.794,-0.042,0.618,-10.32,1.67,-3.39,walking
